;Wavenumber;Abs
0;4000,0;99,657119
1;3999,0;99,654129
2;3998,0;99,651004
3;3997,0;99,684715
4;3996,0;99,732221
5;3995,0;99,760371
6;3994,0;99,755537
7;3993,0;99,730911
8;3992,0;99,708579
9;3991,0;99,697983
10;3990,0;99,690989
11;3989,0;99,674743
12;3988,0;99,647302
13;3987,0;99,621615
14;3986,0;99,614725
15;3985,0;99,633047
16;3984,0;99,667862
17;3983,0;99,703775
18;3982,0;99,729338
19;3981,0;99,739865
20;3980,0;99,735375
21;3979,0;99,720953
22;3978,0;99,708055
23;3977,0;99,710013
24;3976,0;99,73187
25;3975,0;99,763937
26;3974,0;99,78781
27;3973,0;99,791451
28;3972,0;99,780475
29;3971,0;99,773764
30;3970,0;99,785598
31;3969,0;99,810829
32;3968,0;99,829426
33;3967,0;99,827107
34;3966,0;99,809542
35;3965,0;99,795266
36;3964,0;99,796632
37;3963,0;99,809553
38;3962,0;99,819739
39;3961,0;99,816039
40;3960,0;99,79813
41;3959,0;99,774734
42;3958,0;99,757463
43;3957,0;99,753233
44;3956,0;99,760346
45;3955,0;99,770854
46;3954,0;99,777253
47;3953,0;99,77764
48;3952,0;99,776018
49;3951,0;99,779717
50;3950,0;99,793572
51;3949,0;99,814593
52;3948,0;99,834753
53;3947,0;99,850997
54;3946,0;99,868049
55;3945,0;99,889256
56;3944,0;99,909479
57;3943,0;99,92137
58;3942,0;99,926615
59;3941,0;99,932389
60;3940,0;99,935494
61;3939,0;99,920366
62;3938,0;99,878774
63;3937,0;99,823835
64;3936,0;99,780706
65;3935,0;99,764656
66;3934,0;99,770422
67;3933,0;99,781448
68;3932,0;99,786322
69;3931,0;99,786902
70;3930,0;99,790647
71;3929,0;99,798355
72;3928,0;99,802768
73;3927,0;99,796715
74;3926,0;99,7822
75;3925,0;99,771758
76;3924,0;99,779347
77;3923,0;99,807674
78;3922,0;99,845607
79;3921,0;99,881196
80;3920,0;99,912361
81;3919,0;99,937677
82;3918,0;99,94496
