;Wavenumber;Abs
0;4000,0;96,688213
1;3999,0;96,693574
2;3998,0;96,713154
3;3997,0;96,731397
4;3996,0;96,736198
5;3995,0;96,729432
6;3994,0;96,725306
7;3993,0;96,737904
8;3992,0;96,768542
9;3991,0;96,803626
10;3990,0;96,826055
11;3989,0;96,83125
12;3988,0;96,831877
13;3987,0;96,844198
14;3986,0;96,868866
15;3985,0;96,888467
16;3984,0;96,886277
17;3983,0;96,866037
18;3982,0;96,849008
19;3981,0;96,85088
20;3980,0;96,865056
21;3979,0;96,870382
22;3978,0;96,853967
23;3977,0;96,824022
24;3976,0;96,801075
25;3975,0;96,797325
26;3974,0;96,805039
27;3973,0;96,8048
28;3972,0;96,784994
29;3971,0;96,753055
30;3970,0;96,728397
31;3969,0;96,726013
32;3968,0;96,74587
33;3967,0;96,775314
34;3966,0;96,800319
35;3965,0;96,817421
36;3964,0;96,836959
37;3963,0;96,872463
38;3962,0;96,923213
39;3961,0;96,967728
40;3960,0;96,980211
41;3959,0;96,954856
42;3958,0;96,912386
43;3957,0;96,881812
44;3956,0;96,875233
45;3955,0;96,879272
46;3954,0;96,868926
47;3953,0;96,83142
48;3952,0;96,777341
49;3951,0;96,731506
50;3950,0;96,71263
51;3949,0;96,719886
52;3948,0;96,736618
53;3947,0;96,745095
54;3946,0;96,740276
55;3945,0;96,732128
56;3944,0;96,736752
57;3943,0;96,762509
58;3942,0;96,802055
59;3941,0;96,839134
60;3940,0;96,862064
61;3939,0;96,868526
62;3938,0;96,862295
63;3937,0;96,849129
64;3936,0;96,833306
65;3935,0;96,816421
66;3934,0;96,798357
67;3933,0;96,783108
68;3932,0;96,780013
69;3931,0;96,794907
70;3930,0;96,820776
71;3929,0;96,841484
72;3928,0;96,84712
73;3927,0;96,844099
74;3926,0;96,84748
75;3925,0;96,862375
76;3924,0;96,879426
77;3923,0;96,891789
78;3922,0;96,90162
79;3921,0;96,906406
80;3920,0;96,896222
81;3919,0;96,870883
82;3918,0;96,848868
83;3917,0;96,848859
84;3916,0;96,870938
85;3915,0;96,903783
86;3914,0;96,939213
87;3913,0;96,969356
88;3912,0;96,981156
89;3911,0;96,964127
90;3910,0;96,921175
91;3909,0;96,866899
92;3908,0;96,816304
93;3907,0;96,779879
94;3906,0;96,762812
95;3905,0;96,76668
96;3904,0;96,784686
97;3903,0;96,80648
98;3902,0;96,831282
99;3901,0;96,864817
100;3900,0;96,901759
101;3899,0;96,922976
102;3898,0;96,917043
103;3897,0;96,895226
104;3896,0;96,876462
105;3895,0;96,866254
106;3894,0;96,860924
107;3893,0;96,86051
108;3892,0;96,866959
109;3891,0;96,869212
110;3890,0;96,854188
111;3889,0;96,839087
112;3888,0;96,851746
113;3887,0;96,891322
114;3886,0;96,92344
115;3885,0;96,91178
116;3884,0;96,863207
117;3883,0;96,827138
118;3882,0;96,831102
119;3881,0;96,854284
120;3880,0;96,859879
121;3879,0;96,832389
122;3878,0;96,793853
123;3877,0;96,777104
124;3876,0;96,789305
125;3875,0;96,811646
126;3874,0;96,816002
127;3873,0;96,794117
128;3872,0;96,77622
129;3871,0;96,796751
130;3870,0;96,841084
131;3869,0;96,855255
132;3868,0;96,831533
133;3867,0;96,825398
134;3866,0;96,867704
135;3865,0;96,929055
136;3864,0;96,970769
137;3863,0;96,989556
138;3862,0;97,003317
139;3861,0;97,014657
140;3860,0;97,017704
141;3859,0;97,019564
142;3858,0;97,028817
143;3857,0;97,038286
144;3856,0;97,029257
145;3855,0;97,011813
146;3854,0;97,028326
147;3853,0;97,05697
148;3852,0;97,03354
149;3851,0;96,991034
150;3850,0;96,981417
151;3849,0;96,985042
152;3848,0;96,968595
153;3847,0;96,932762
154;3846,0;96,900512
155;3845,0;96,883411
156;3844,0;96,877201
157;3843,0;96,87485
158;3842,0;96,873751
159;3841,0;96,875031
160;3840,0;96,879111
161;3839,0;96,882615
162;3838,0;96,883322
163;3837,0;96,883441
164;3836,0;96,887399
165;3835,0;96,902134
166;3834,0;96,928911
167;3833,0;96,962731
168;3832,0;96,993746
169;3831,0;97,008105
170;3830,0;97,000436
171;3829,0;96,9809
172;3828,0;96,964101
173;3827,0;96,955026
174;3826,0;96,944892
175;3825,0;96,928046
176;3824,0;96,922224
177;3823,0;96,953539
178;3822,0;97,023895
179;3821,0;97,086481
180;3820,0;97,081077
181;3819,0;97,030978
182;3818,0;97,008385
183;3817,0;97,029423
184;3816,0;97,044684
185;3815,0;97,000416
186;3814,0;96,91608
187;3813,0;96,86393
188;3812,0;96,868021
189;3811,0;96,890212
190;3810,0;96,897985
191;3809,0;96,900129
192;3808,0;96,923228
193;3807,0;96,962838
194;3806,0;96,98409
195;3805,0;96,987168
196;3804,0;97,012563
197;3803,0;97,069853
198;3802,0;97,119246
199;3801,0;97,100202
200;3800,0;96,998436
201;3799,0;96,891035
202;3798,0;96,848625
203;3797,0;96,862038
204;3796,0;96,883877
205;3795,0;96,886195
206;3794,0;96,878122
207;3793,0;96,875816
208;3792,0;96,875134
209;3791,0;96,864819
210;3790,0;96,847935
211;3789,0;96,834279
212;3788,0;96,82608
213;3787,0;96,819683
214;3786,0;96,813724
215;3785,0;96,807253
216;3784,0;96,797513
217;3783,0;96,788883
218;3782,0;96,798355
219;3781,0;96,837338
220;3780,0;96,891997
221;3779,0;96,928307
222;3778,0;96,924766
223;3777,0;96,895615
224;3776,0;96,868876
225;3775,0;96,852677
226;3774,0;96,835439
227;3773,0;96,813623
228;3772,0;96,803722
229;3771,0;96,822114
230;3770,0;96,857787
231;3769,0;96,883057
232;3768,0;96,893936
233;3767,0;96,911996
234;3766,0;96,945365
235;3765,0;96,973474
236;3764,0;96,97167
237;3763,0;96,941847
238;3762,0;96,904842
239;3761,0;96,873519
240;3760,0;96,854658
241;3759,0;96,858648
242;3758,0;96,891009
243;3757,0;96,938841
244;3756,0;96,98036
245;3755,0;97,009766
246;3754,0;97,033582
247;3753,0;97,055218
248;3752,0;97,075344
249;3751,0;97,09814
250;3750,0;97,115386
251;3749,0;97,104335
252;3748,0;97,062337
253;3747,0;97,013457
254;3746,0;96,982488
255;3745,0;96,975592
256;3744,0;96,943926
257;3743,0;96,84467
258;3742,0;96,753942
259;3741,0;96,74625
260;3740,0;96,785342
261;3739,0;96,80357
262;3738,0;96,785567
263;3737,0;96,767354
264;3736,0;96,777935
265;3735,0;96,816176
266;3734,0;96,870136
267;3733,0;96,927162
268;3732,0;96,957875
269;3731,0;96,934752
270;3730,0;96,871889
271;3729,0;96,809801
272;3728,0;96,771439
273;3727,0;96,752138
274;3726,0;96,743591
275;3725,0;96,756757
276;3724,0;96,810627
277;3723,0;96,896148
278;3722,0;96,975126
279;3721,0;97,019393
280;3720,0;97,035823
281;3719,0;97,046006
282;3718,0;97,056386
283;3717,0;97,053416
284;3716,0;97,02562
285;3715,0;96,982632
286;3714,0;96,940449
287;3713,0;96,904849
288;3712,0;96,875121
289;3711,0;96,852995
290;3710,0;96,847463
291;3709,0;96,866272
292;3708,0;96,90221
293;3707,0;96,936016
294;3706,0;96,951935
295;3705,0;96,950298
296;3704,0;96,943723
297;3703,0;96,945084
298;3702,0;96,953525
299;3701,0;96,949265
300;3700,0;96,916953
301;3699,0;96,871454
302;3698,0;96,845071
303;3697,0;96,851702
304;3696,0;96,871437
305;3695,0;96,875783
306;3694,0;96,858994
307;3693,0;96,837304
308;3692,0;96,834565
309;3691,0;96,871281
310;3690,0;96,950269
311;3689,0;97,041297
312;3688,0;97,096045
313;3687,0;97,097406
314;3686,0;97,070083
315;3685,0;97,036445
316;3684,0;96,995651
317;3683,0;96,947418
318;3682,0;96,911787
319;3681,0;96,913478
320;3680,0;96,947662
321;3679,0;96,983779
322;3678,0;97,00321
323;3677,0;97,016868
324;3676,0;97,035969
325;3675,0;97,02575
326;3674,0;96,964481
327;3673,0;96,913186
328;3672,0;96,919963
329;3671,0;96,960714
330;3670,0;96,994058
331;3669,0;96,99863
332;3668,0;96,989933
333;3667,0;96,994807
334;3666,0;97,005708
335;3665,0;97,000619
336;3664,0;96,977287
337;3663,0;96,949704
338;3662,0;96,927796
339;3661,0;96,911146
340;3660,0;96,899113
341;3659,0;96,90267
342;3658,0;96,935813
343;3657,0;96,994292
344;3656,0;97,042564
345;3655,0;97,046405
346;3654,0;97,017733
347;3653,0;96,986741
348;3652,0;96,954727
349;3651,0;96,908144
350;3650,0;96,857955
351;3649,0;96,828751
352;3648,0;96,82874
353;3647,0;96,847995
354;3646,0;96,874012
355;3645,0;96,901636
356;3644,0;96,929294
357;3643,0;96,950614
358;3642,0;96,957925
359;3641,0;96,951343
360;3640,0;96,938099
361;3639,0;96,921158
362;3638,0;96,892558
363;3637,0;96,851921
364;3636,0;96,820857
365;3635,0;96,823051
366;3634,0;96,850832
367;3633,0;96,871152
368;3632,0;96,867869
369;3631,0;96,857642
370;3630,0;96,874851
371;3629,0;96,927747
372;3628,0;96,965982
373;3627,0;96,963124
374;3626,0;96,953661
375;3625,0;96,952028
376;3624,0;96,943193
377;3623,0;96,927024
378;3622,0;96,922206
379;3621,0;96,935662
380;3620,0;96,947242
381;3619,0;96,933655
382;3618,0;96,898554
383;3617,0;96,868978
384;3616,0;96,862473
385;3615,0;96,868416
386;3614,0;96,863832
387;3613,0;96,840581
388;3612,0;96,816432
389;3611,0;96,819137
390;3610,0;96,857793
391;3609,0;96,911362
392;3608,0;96,94964
393;3607,0;96,96134
394;3606,0;96,95881
395;3605,0;96,95891
396;3604,0;96,96915
397;3603,0;96,990814
398;3602,0;97,019083
399;3601,0;97,038934
400;3600,0;97,033274
401;3599,0;97,003054
402;3598,0;96,967173
403;3597,0;96,939235
404;3596,0;96,918026
405;3595,0;96,902522
406;3594,0;96,900738
407;3593,0;96,918686
408;3592,0;96,948783
409;3591,0;96,969848
410;3590,0;96,965019
411;3589,0;96,938757
412;3588,0;96,91241
413;3587,0;96,894963
414;3586,0;96,875827
415;3585,0;96,84932
416;3584,0;96,821879
417;3583,0;96,802604
418;3582,0;96,798689
419;3581,0;96,814447
420;3580,0;96,849099
421;3579,0;96,8956
422;3578,0;96,939266
423;3577,0;96,960684
424;3576,0;96,948717
425;3575,0;96,914119
426;3574,0;96,88551
427;3573,0;96,884074
428;3572,0;96,903143
429;3571,0;96,913678
430;3570,0;96,890773
431;3569,0;96,840771
432;3568,0;96,801935
433;3567,0;96,808137
434;3566,0;96,852059
435;3565,0;96,900452
436;3564,0;96,926529
437;3563,0;96,922
438;3562,0;96,895215
439;3561,0;96,863523
440;3560,0;96,84186
441;3559,0;96,837665
442;3558,0;96,853817
443;3557,0;96,88847
444;3556,0;96,928851
445;3555,0;96,951588
446;3554,0;96,937414
447;3553,0;96,888208
448;3552,0;96,827709
449;3551,0;96,782681
450;3550,0;96,764841
451;3549,0;96,768716
452;3548,0;96,781795
453;3547,0;96,796906
454;3546,0;96,816109
455;3545,0;96,842416
456;3544,0;96,872299
457;3543,0;96,89871
458;3542,0;96,919106
459;3541,0;96,937367
460;3540,0;96,957302
461;3539,0;96,975194
462;3538,0;96,981281
463;3537,0;96,970912
464;3536,0;96,952581
465;3535,0;96,94214
466;3534,0;96,947702
467;3533,0;96,963434
468;3532,0;96,977467
469;3531,0;96,982843
470;3530,0;96,979122
471;3529,0;96,965912
472;3528,0;96,941683
473;3527,0;96,90964
474;3526,0;96,879305
475;3525,0;96,857269
476;3524,0;96,840094
477;3523,0;96,821626
478;3522,0;96,805274
479;3521,0;96,802402
480;3520,0;96,817653
481;3519,0;96,840459
482;3518,0;96,853444
483;3517,0;96,84784
484;3516,0;96,827101
485;3515,0;96,79798
486;3514,0;96,764964
487;3513,0;96,736996
488;3512,0;96,732118
489;3511,0;96,764119
490;3510,0;96,822984
491;3509,0;96,876339
492;3508,0;96,896683
493;3507,0;96,884006
494;3506,0;96,858453
495;3505,0;96,836425
496;3504,0;96,81857
497;3503,0;96,799564
498;3502,0;96,782869
499;3501,0;96,780231
500;3500,0;96,798507
501;3499,0;96,83193
502;3498,0;96,867428
503;3497,0;96,894222
504;3496,0;96,906868
505;3495,0;96,901804
506;3494,0;96,876043
507;3493,0;96,832872
508;3492,0;96,786823
509;3491,0;96,757731
510;3490,0;96,755956
511;3489,0;96,774238
512;3488,0;96,795448
513;3487,0;96,808066
514;3486,0;96,813127
515;3485,0;96,817091
516;3484,0;96,821036
517;3483,0;96,817543
518;3482,0;96,797546
519;3481,0;96,761263
520;3480,0;96,723316
521;3479,0;96,704299
522;3478,0;96,713921
523;3477,0;96,741937
524;3476,0;96,767704
525;3475,0;96,779335
526;3474,0;96,780852
527;3473,0;96,7811
528;3472,0;96,782032
529;3471,0;96,781704
530;3470,0;96,783496
531;3469,0;96,794383
532;3468,0;96,812657
533;3467,0;96,823051
534;3466,0;96,809333
535;3465,0;96,771303
536;3464,0;96,727581
537;3463,0;96,701539
538;3462,0;96,703437
539;3461,0;96,722816
540;3460,0;96,736497
541;3459,0;96,727891
542;3458,0;96,70306
543;3457,0;96,688331
544;3456,0;96,707684
545;3455,0;96,759434
546;3454,0;96,816961
547;3453,0;96,852965
548;3452,0;96,861465
549;3451,0;96,856754
550;3450,0;96,854202
551;3449,0;96,854977
552;3448,0;96,849739
553;3447,0;96,835953
554;3446,0;96,828003
555;3445,0;96,845401
556;3444,0;96,890016
557;3443,0;96,938494
558;3442,0;96,961583
559;3441,0;96,950377
560;3440,0;96,92026
561;3439,0;96,892128
562;3438,0;96,87653
563;3437,0;96,876004
564;3436,0;96,892134
565;3435,0;96,922479
566;3434,0;96,955101
567;3433,0;96,975863
568;3432,0;96,982094
569;3431,0;96,983062
570;3430,0;96,985319
571;3429,0;96,982612
572;3428,0;96,965029
573;3427,0;96,934358
574;3426,0;96,904904
575;3425,0;96,88913
576;3424,0;96,885911
577;3423,0;96,883921
578;3422,0;96,874688
579;3421,0;96,861908
580;3420,0;96,858375
581;3419,0;96,873153
582;3418,0;96,901584
583;3417,0;96,928846
584;3416,0;96,942713
585;3415,0;96,940652
586;3414,0;96,925017
587;3413,0;96,897514
588;3412,0;96,863357
589;3411,0;96,835932
590;3410,0;96,828348
591;3409,0;96,839743
592;3408,0;96,856319
593;3407,0;96,867347
594;3406,0;96,874222
595;3405,0;96,883214
596;3404,0;96,897207
597;3403,0;96,917679
598;3402,0;96,946218
599;3401,0;96,976877
600;3400,0;96,993282
601;3399,0;96,983633
602;3398,0;96,958595
603;3397,0;96,945127
604;3396,0;96,95907
605;3395,0;96,988537
606;3394,0;97,006402
607;3393,0;96,995087
608;3392,0;96,957845
609;3391,0;96,911415
610;3390,0;96,874142
611;3389,0;96,85933
612;3388,0;96,871025
613;3387,0;96,90014
614;3386,0;96,926091
615;3385,0;96,928682
616;3384,0;96,903177
617;3383,0;96,864666
618;3382,0;96,835908
619;3381,0;96,829068
620;3380,0;96,838326
621;3379,0;96,849558
622;3378,0;96,856421
623;3377,0;96,865426
624;3376,0;96,885607
625;3375,0;96,915208
626;3374,0;96,94072
627;3373,0;96,948593
628;3372,0;96,936836
629;3371,0;96,915571
630;3370,0;96,898554
631;3369,0;96,894252
632;3368,0;96,901463
633;3367,0;96,910374
634;3366,0;96,908892
635;3365,0;96,89199
636;3364,0;96,866537
637;3363,0;96,845502
638;3362,0;96,835611
639;3361,0;96,830691
640;3360,0;96,818316
641;3359,0;96,792954
642;3358,0;96,761959
643;3357,0;96,738713
644;3356,0;96,731608
645;3355,0;96,740862
646;3354,0;96,763725
647;3353,0;96,797733
648;3352,0;96,83698
649;3351,0;96,870018
650;3350,0;96,88807
651;3349,0;96,895388
652;3348,0;96,905431
653;3347,0;96,924408
654;3346,0;96,943588
655;3345,0;96,951227
656;3344,0;96,946726
657;3343,0;96,936949
658;3342,0;96,922431
659;3341,0;96,897338
660;3340,0;96,863856
661;3339,0;96,836385
662;3338,0;96,825794
663;3337,0;96,826457
664;3336,0;96,825769
665;3335,0;96,822325
666;3334,0;96,826304
667;3333,0;96,8435
668;3332,0;96,866879
669;3331,0;96,884374
670;3330,0;96,887741
671;3329,0;96,87231
672;3328,0;96,83693
673;3327,0;96,790869
674;3326,0;96,75602
675;3325,0;96,753633
676;3324,0;96,786921
677;3323,0;96,839313
678;3322,0;96,88912
679;3321,0;96,923019
680;3320,0;96,9373
681;3319,0;96,932948
682;3318,0;96,914041
683;3317,0;96,888788
684;3316,0;96,867315
685;3315,0;96,8559
686;3314,0;96,85329
687;3313,0;96,853044
688;3312,0;96,849513
689;3311,0;96,841762
690;3310,0;96,832732
691;3309,0;96,826438
692;3308,0;96,827205
693;3307,0;96,839862
694;3306,0;96,866398
