;Wavenumber;Abs
0;4000,0;96,729655
1;3999,0;96,721555
2;3998,0;96,726356
3;3997,0;96,741229
4;3996,0;96,760889
5;3995,0;96,781236
6;3994,0;96,802284
7;3993,0;96,82699
8;3992,0;96,855633
9;3991,0;96,880991
10;3990,0;96,890805
11;3989,0;96,878184
12;3988,0;96,850619
13;3987,0;96,826687
14;3986,0;96,820928
15;3985,0;96,831983
16;3984,0;96,847069
17;3983,0;96,857937
18;3982,0;96,869109
19;3981,0;96,888212
20;3980,0;96,911321
21;3979,0;96,922466
22;3978,0;96,90937
23;3977,0;96,877657
24;3976,0;96,847866
25;3975,0;96,837324
26;3974,0;96,844762
27;3973,0;96,852445
28;3972,0;96,84253
29;3971,0;96,811193
30;3970,0;96,769139
31;3969,0;96,732232
32;3968,0;96,71244
33;3967,0;96,714396
34;3966,0;96,736909
35;3965,0;96,776536
36;3964,0;96,829757
37;3963,0;96,891011
38;3962,0;96,947885
39;3961,0;96,980889
40;3960,0;96,974221
41;3959,0;96,930222
42;3958,0;96,873358
43;3957,0;96,836071
44;3956,0;96,83509
45;3955,0;96,857293
46;3954,0;96,86859
47;3953,0;96,841582
48;3952,0;96,778487
49;3951,0;96,711805
50;3950,0;96,681352
51;3949,0;96,704829
52;3948,0;96,76489
53;3947,0;96,822842
54;3946,0;96,847796
55;3945,0;96,836847
56;3944,0;96,814755
57;3943,0;96,812905
58;3942,0;96,841511
59;3941,0;96,88195
60;3940,0;96,906147
61;3939,0;96,899501
62;3938,0;96,86776
63;3937,0;96,827609
64;3936,0;96,792484
65;3935,0;96,76693
66;3934,0;96,752
67;3933,0;96,754438
68;3932,0;96,783818
69;3931,0;96,837767
70;3930,0;96,893957
71;3929,0;96,922985
72;3928,0;96,910484
73;3927,0;96,867507
74;3926,0;96,820113
75;3925,0;96,788936
76;3924,0;96,780158
77;3923,0;96,792634
78;3922,0;96,821291
79;3921,0;96,852915
80;3920,0;96,872976
81;3919,0;96,881011
82;3918,0;96,891899
83;3917,0;96,91646
84;3916,0;96,949346
85;3915,0;96,978627
86;3914,0;96,997476
87;3913,0;97,001911
88;3912,0;96,989518
89;3911,0;96,963319
90;3910,0;96,933032
91;3909,0;96,90701
92;3908,0;96,88706
93;3907,0;96,87201
94;3906,0;96,862297
95;3905,0;96,859643
96;3904,0;96,860337
97;3903,0;96,859286
98;3902,0;96,862286
99;3901,0;96,883823
100;3900,0;96,927662
101;3899,0;96,97595
102;3898,0;97,003472
103;3897,0;96,997427
104;3896,0;96,960379
105;3895,0;96,903758
106;3894,0;96,849766
107;3893,0;96,827418
108;3892,0;96,852316
109;3891,0;96,904542
110;3890,0;96,951322
111;3889,0;96,986538
112;3888,0;97,019292
113;3887,0;97,046327
114;3886,0;97,0536
115;3885,0;97,035816
116;3884,0;97,009279
117;3883,0;96,996316
118;3882,0;96,993224
119;3881,0;96,979683
120;3880,0;96,952068
121;3879,0;96,927988
122;3878,0;96,929326
123;3877,0;96,961323
124;3876,0;97,005242
125;3875,0;97,035382
126;3874,0;97,037276
127;3873,0;97,017757
128;3872,0;97,000116
129;3871,0;96,999617
130;3870,0;97,004134
131;3869,0;96,98749
132;3868,0;96,952844
133;3867,0;96,929128
134;3866,0;96,922888
135;3865,0;96,915866
136;3864,0;96,902418
137;3863,0;96,89773
138;3862,0;96,913158
139;3861,0;96,93976
140;3860,0;96,965494
141;3859,0;96,987571
142;3858,0;97,006231
143;3857,0;97,016419
144;3856,0;97,014056
145;3855,0;97,018355
146;3854,0;97,059413
147;3853,0;97,104507
148;3852,0;97,096391
149;3851,0;97,056691
150;3850,0;97,026367
151;3849,0;97,005293
152;3848,0;96,982966
153;3847,0;96,962234
154;3846,0;96,950447
155;3845,0;96,945178
156;3844,0;96,943351
157;3843,0;96,952556
