;Wavenumber;Abs
0;4000,0;99,721045
1;3999,0;99,753129
2;3998,0;99,785163
3;3997,0;99,827676
4;3996,0;99,858787
5;3995,0;99,862495
6;3994,0;99,841098
7;3993,0;99,81125
8;3992,0;99,788344
9;3991,0;99,774805
10;3990,0;99,762406
11;3989,0;99,744288
12;3988,0;99,723975
13;3987,0;99,71318
14;3986,0;99,72034
15;3985,0;99,741221
16;3984,0;99,762041
17;3983,0;99,773068
18;3982,0;99,777419
19;3981,0;99,784328
20;3980,0;99,796055
21;3979,0;99,805637
22;3978,0;99,80818
23;3977,0;99,810163
24;3976,0;99,824277
25;3975,0;99,855586
26;3974,0;99,895599
27;3973,0;99,930239
28;3972,0;99,951442
29;3971,0;99,959896
30;3970,0;99,959088
31;3969,0;99,950322
32;3968,0;99,934884
33;3967,0;99,918613
34;3966,0;99,910859
35;3965,0;99,917286
36;3964,0;99,934293
37;3963,0;99,951535
38;3962,0;99,959103
39;3961,0;99,952574
40;3960,0;99,933644
41;3959,0;99,908373
42;3958,0;99,885461
43;3957,0;99,872071
44;3956,0;99,869043
45;3955,0;99,871167
46;3954,0;99,873822
47;3953,0;99,878668
48;3952,0;99,890879
49;3951,0;99,911394
50;3950,0;99,93178
51;3949,0;99,938757
52;3948,0;99,92696
53;3947,0;99,90795
54;3946,0;99,901808
55;3945,0;99,917276
56;3944,0;99,941923
57;3943,0;99,95493
58;3942,0;99,949536
59;3941,0;99,935937
60;3940,0;99,922305
61;3939,0;99,903863
62;3938,0;99,875826
63;3937,0;99,84676
64;3936,0;99,832993
65;3935,0;99,841795
66;3934,0;99,864296
67;3933,0;99,885037
68;3932,0;99,894694
69;3931,0;99,894601
70;3930,0;99,891715
71;3929,0;99,892139
72;3928,0;99,898801
73;3927,0;99,908918
74;3926,0;99,913676
75;3925,0;99,906437
76;3924,0;99,893515
77;3923,0;99,889694
78;3922,0;99,901775
79;3921,0;99,925166
80;3920,0;99,954148
81;3919,0;99,983878
82;3918,0;100,004078
83;3917,0;100,003078
84;3916,0;99,982876
85;3915,0;99,961164
86;3914,0;99,954127
87;3913,0;99,962028
88;3912,0;99,974973
89;3911,0;99,983681
90;3910,0;99,986188
91;3909,0;99,983721
92;3908,0;99,975151
93;3907,0;99,955551
94;3906,0;99,922
95;3905,0;99,883002
96;3904,0;99,862127
97;3903,0;99,887602
98;3902,0;99,965522
99;3901,0;100,063019
100;3900,0;100,128865
101;3899,0;100,136098
102;3898,0;100,097992
103;3897,0;100,043141
104;3896,0;99,99201
105;3895,0;99,958236
106;3894,0;99,953156
107;3893,0;99,969886
108;3892,0;99,97872
