;Wavenumber;Abs
0;4000,0;98,644287
1;3999,0;98,630291
2;3998,0;98,631793
3;3997,0;98,642562
4;3996,0;98,657984
5;3995,0;98,673397
6;3994,0;98,690904
7;3993,0;98,713885
8;3992,0;98,74633
9;3991,0;98,783126
10;3990,0;98,808984
11;3989,0;98,812269
12;3988,0;98,800017
13;3987,0;98,793891
14;3986,0;98,80757
15;3985,0;98,830867
16;3984,0;98,839611
17;3983,0;98,821053
18;3982,0;98,78625
19;3981,0;98,756173
20;3980,0;98,738925
21;3979,0;98,723023
22;3978,0;98,69321
23;3977,0;98,650402
24;3976,0;98,614185
25;3975,0;98,605108
26;3974,0;98,62576
27;3973,0;98,659626
28;3972,0;98,685522
29;3971,0;98,692093
30;3970,0;98,681788
31;3969,0;98,666297
32;3968,0;98,658709
33;3967,0;98,66616
34;3966,0;98,687154
35;3965,0;98,715386
36;3964,0;98,746121
37;3963,0;98,777616
38;3962,0;98,806643
39;3961,0;98,826081
40;3960,0;98,829627
41;3959,0;98,818624
42;3958,0;98,802741
43;3957,0;98,792666
44;3956,0;98,790655
45;3955,0;98,786991
46;3954,0;98,766488
47;3953,0;98,720822
48;3952,0;98,657881
49;3951,0;98,601081
50;3950,0;98,577247
51;3949,0;98,599747
52;3948,0;98,659454
53;3947,0;98,731292
54;3946,0;98,78947
55;3945,0;98,818801
56;3944,0;98,819487
57;3943,0;98,805755
58;3942,0;98,795594
59;3941,0;98,79746
60;3940,0;98,805518
61;3939,0;98,807983
62;3938,0;98,799395
63;3937,0;98,784973
64;3936,0;98,773073
65;3935,0;98,765028
66;3934,0;98,755781
67;3933,0;98,743536
68;3932,0;98,733611
69;3931,0;98,730086
70;3930,0;98,72903
71;3929,0;98,726263
72;3928,0;98,727362
73;3927,0;98,743099
74;3926,0;98,773768
75;3925,0;98,804609
76;3924,0;98,820707
77;3923,0;98,820265
78;3922,0;98,809741
79;3921,0;98,79459
80;3920,0;98,779421
81;3919,0;98,77169
82;3918,0;98,778381
83;3917,0;98,800129
84;3916,0;98,831654
85;3915,0;98,865152
86;3914,0;98,889431
87;3913,0;98,892017
88;3912,0;98,867632
89;3911,0;98,826423
90;3910,0;98,789372
91;3909,0;98,773189
92;3908,0;98,778359
93;3907,0;98,788451
94;3906,0;98,782803
95;3905,0;98,756425
96;3904,0;98,730931
97;3903,0;98,737938
98;3902,0;98,787399
99;3901,0;98,85656
100;3900,0;98,909928
101;3899,0;98,927786
102;3898,0;98,912202
103;3897,0;98,872698
104;3896,0;98,816685
105;3895,0;98,755929
106;3894,0;98,710948
107;3893,0;98,699925
108;3892,0;98,717608
109;3891,0;98,738122
110;3890,0;98,747655
111;3889,0;98,756019
112;3888,0;98,774561
113;3887,0;98,797132
114;3886,0;98,807336
115;3885,0;98,804051
116;3884,0;98,805681
117;3883,0;98,822863
118;3882,0;98,842092
119;3881,0;98,841468
120;3880,0;98,816845
121;3879,0;98,788001
122;3878,0;98,776473
123;3877,0;98,784628
124;3876,0;98,797864
125;3875,0;98,801557
126;3874,0;98,797451
127;3873,0;98,799229
128;3872,0;98,807689
129;3871,0;98,800432
130;3870,0;98,760612
131;3869,0;98,709879
132;3868,0;98,687763
133;3867,0;98,705097
134;3866,0;98,739084
135;3865,0;98,767318
136;3864,0;98,789037
137;3863,0;98,81099
138;3862,0;98,828252
139;3861,0;98,833944
140;3860,0;98,831463
141;3859,0;98,82881
142;3858,0;98,829485
143;3857,0;98,832176
144;3856,0;98,837394
145;3855,0;98,847917
146;3854,0;98,864228
147;3853,0;98,885738
148;3852,0;98,912851
149;3851,0;98,937022
150;3850,0;98,939088
151;3849,0;98,911072
152;3848,0;98,869462
153;3847,0;98,84217
154;3846,0;98,842088
155;3845,0;98,858677
156;3844,0;98,873525
157;3843,0;98,88196
158;3842,0;98,892947
159;3841,0;98,907214
160;3840,0;98,905704
161;3839,0;98,872836
162;3838,0;98,826639
163;3837,0;98,80589
164;3836,0;98,831405
165;3835,0;98,889786
166;3834,0;98,948108
167;3833,0;98,975201
168;3832,0;98,958778
169;3831,0;98,913354
170;3830,0;98,868538
171;3829,0;98,84556
172;3828,0;98,841745
173;3827,0;98,83782
174;3826,0;98,824494
175;3825,0;98,818376
176;3824,0;98,841663
177;3823,0;98,888524
178;3822,0;98,918736
179;3821,0;98,9029
180;3820,0;98,870218
181;3819,0;98,873657
182;3818,0;98,923607
183;3817,0;98,974241
184;3816,0;98,973862
185;3815,0;98,928104
186;3814,0;98,884054
187;3813,0;98,866028
188;3812,0;98,862987
189;3811,0;98,860888
190;3810,0;98,862101
191;3809,0;98,874414
192;3808,0;98,891464
193;3807,0;98,898734
194;3806,0;98,899741
195;3805,0;98,915486
196;3804,0;98,951532
197;3803,0;98,983202
198;3802,0;98,975837
199;3801,0;98,926181
200;3800,0;98,868319
201;3799,0;98,825866
202;3798,0;98,789892
203;3797,0;98,746279
204;3796,0;98,704067
205;3795,0;98,687042
206;3794,0;98,703137
207;3793,0;98,734335
208;3792,0;98,756271
209;3791,0;98,761719
210;3790,0;98,762105
211;3789,0;98,771506
212;3788,0;98,79327
213;3787,0;98,818608
214;3786,0;98,833012
215;3785,0;98,827433
216;3784,0;98,808718
217;3783,0;98,798804
218;3782,0;98,817866
219;3781,0;98,866241
220;3780,0;98,920961
221;3779,0;98,953926
222;3778,0;98,954415
223;3777,0;98,929401
224;3776,0;98,887025
225;3775,0;98,831785
226;3774,0;98,773945
227;3773,0;98,732079
228;3772,0;98,720089
229;3771,0;98,735144
230;3770,0;98,763158
231;3769,0;98,795117
232;3768,0;98,829997
233;3767,0;98,862229
234;3766,0;98,879768
235;3765,0;98,87858
236;3764,0;98,870805
237;3763,0;98,870176
238;3762,0;98,873442
239;3761,0;98,868169
240;3760,0;98,856002
241;3759,0;98,855427
242;3758,0;98,877992
243;3757,0;98,916115
244;3756,0;98,95568
245;3755,0;98,98471
246;3754,0;98,994276
247;3753,0;98,98624
248;3752,0;98,98002
249;3751,0;98,987355
250;3750,0;98,982647
251;3749,0;98,939035
252;3748,0;98,874081
253;3747,0;98,828152
254;3746,0;98,816479
255;3745,0;98,805183
256;3744,0;98,759922
257;3743,0;98,708381
258;3742,0;98,694338
259;3741,0;98,717671
260;3740,0;98,750522
261;3739,0;98,769546
262;3738,0;98,76689
263;3737,0;98,747736
264;3736,0;98,735088
265;3735,0;98,759462
